year, men(s), women(s)
1900, 11.00,
1904, 11.00,
1908, 10.80,
1912, 10.80,
1920, 10.80,
1924, 10.60,
1928, 10.80, 12.20
1932, 10.30, 11.90
1936, 10.30, 11.50
1948, 10.30, 11.90
1952, 10.40, 11.50
1956, 10.50, 11.50
1960, 10.20, 11.00
1964, 10.00, 11.40
1968,  9.95, 11.08
1972, 10.14, 11.07
1976, 10.06, 11.08
1980, 10.25, 11.06
1984,  9.99, 10.97
1988,  9.92, 10.54
1992,  9.96, 10.82
1996,  9.84, 10.94
2000,  9.87, 10.75
2004,  9.85, 10.93
2008,  9.69, 10.78
2012,  9.63, 10.75
2016,  9.81, 10.71
2020,  9.8,  10.61
2024,  9.79, 10.72
